Date,Open,High,Low,Close,Adjusted_close,Volume
2022-12-27,150.74,151,140.56,141.21,141.1598,46490230
2022-12-28,139.27,142.62,138.84,140.36,140.3101,35106648
2022-12-29,144.02,146.83,142.27,146.03,145.9781,35492320
2022-12-30,143.34,146.2899,142.33,146.14,146.088,31048980
2023-01-03,148.51,149.96,140.96,143.15,143.0991,40127660
2023-01-04,145.67,148.53,142.41,147.49,147.4375,43132359
2023-01-05,144.91,145.64,141.4795,142.65,142.5993,38916809
2023-01-06,144.74,150.1,140.34,148.59,148.5372,40504359
2023-01-09,152.84,160.56,151.41,156.28,156.2244,50423059
2023-01-10,155.07,159.6199,154.72,159.09,159.0334,38410129
2023-01-11,158.395,160.28,155.63,160.01,159.9531,35328488
2023-01-12,161,166.37,154.92,165.11,165.0513,55140910
2023-01-13,162.78,169.22,161.65,168.99,168.9299,44728711
2023-01-17,168.99,177.28,168.99,177.02,176.957,51110219
2023-01-18,176.67,178.73,172.82,173.77,173.7082,43962359
2023-01-19,170.36,171.97,167.31,167.65,167.5904,45293160
2023-01-20,170.11,178.56,168.25,178.39,178.3266,56496711
2023-01-23,180.64,192.45,178.175,191.93,191.8617,65516262
2023-01-24,188.27,194.95,188.2,192.65,192.5815,49620406
2023-01-25,189.125,193.7,185.8,193.23,193.1613,44953711
2023-01-26,197.01,201.66,192.78,198.02,197.9496,48953539
2023-01-27,194.62,206.28,194.05,203.65,203.5776,54214199
2023-01-30,199.5,201.4,191.5,191.62,191.5518,48861121
2023-01-31,191.695,196.87,189.5,195.37,195.3005,49801660
2023-02-01,196.91,211.92,196.11,209.43,209.3555,66047703
2023-02-02,210,219.49,207,217.09,217.0128,56427578
2023-02-03,210,217.4499,207.89,211,210.925,42936602
2023-02-06,208.06,215.7,207.86,210.89,210.815,45219711
2023-02-07,213.82,222.59,211.5,221.73,221.6511,66414961
2023-02-08,223.87,228.78,220.0801,222.05,221.971,55965121
2023-02-09,226.06,230.2,221.2,223.37,223.2906,52387578
2023-02-10,216.9,220.7764,208.11,212.65,212.5744,55073680
2023-02-13,215.38,220.48,209.62,217.88,217.8025,47491859
2023-02-14,215.78,230.488,213.66,229.71,229.6283,67547352
2023-02-15,225.49,228.55,221.06,227.64,227.559,42118832
2023-02-16,221.33,225.5,219.268,220.02,219.9417,41202633
2023-02-17,216.31,217.4,209.75,213.88,213.8039,46588762
2023-02-21,210,214.938,206.18,206.55,206.4765,41001461
2023-02-22,207.07,211.04,204.21,207.54,207.4662,51318434
2023-02-23,234.4,238.88,230.25,236.64,236.5558,111799508
2023-02-24,232.25,234.74,229.47,232.86,232.7772,58971594
2023-02-27,236.7,238.7994,234.54,235.01,234.9264,45299367
2023-02-28,233.72,238.25,232.06,232.16,232.0774,45596281
2023-03-01,231.92,232.5557,225.08,226.98,226.8993,46002559
2023-03-02,224.88,233.804,224.32,233.14,233.0571,39007473
2023-03-03,233.2,239,231.3,238.9,238.815,41239328
2023-03-06,238.91,242.48,234.87,235.54,235.4562,43742922
2023-03-07,236,241.25,232.41,232.88,232.8367,51515391
2023-03-08,234.87,242,234.235,241.81,241.7651,51357340
2023-03-09,241.75,244.54,233.8284,234.36,234.3164,50125699
2023-03-10,234.09,236.27,227.26,229.65,229.6073,47486566
2023-03-13,227.52,232.98,222.97,229.66,229.6173,42189031
2023-03-14,234.96,242.19,234.6,240.63,240.5853,47491008
2023-03-15,237.61,242.86,233.6,242.28,242.235,52448566
2023-03-16,240.27,255.88,238.94,255.41,255.3625,58494633
2023-03-17,259.82,263.99,256.68,257.25,257.2022,84854656
2023-03-20,256.15,260.24,251.2983,259,258.9519,43274719
2023-03-21,261.8,263.92,253.81,261.99,261.9413,54740781
2023-03-22,264.25,275.89,262.37,264.68,264.6308,79729516
2023-03-23,271.155,274.99,266.9,271.91,271.8595,56488879
2023-03-24,270.31,271.67,263.55,267.79,267.7402,45541406
2023-03-27,268.37,270,263.65,265.31,265.2607,36102566
2023-03-28,264.47,265.13,258.5,264.1,264.0509,35610379
2023-03-29,268.25,270.78,265.97,269.84,269.7898,39369391
2023-03-30,272.29,274.99,271.02,273.83,273.7791,36451566
2023-03-31,271.4,278.3431,271.05,277.77,277.7184,43393281
2023-04-03,275.09,280,273.36,279.65,279.598,39871559
2023-04-04,279.66,280,273.07,274.53,274.479,36859152
2023-04-05,268.29,269.98,263.95,268.81,268.76,51501473
2023-04-06,265.84,270.8,264.27,270.37,270.3197,39765434
2023-04-10,268.23,276.2099,266.69,275.79,275.7387,39527859
2023-04-11,277.235,277.9,271.26,271.69,271.6395,31437820
2023-04-12,273.7,274.6799,264.475,264.95,264.9008,44625898
2023-04-13,267.34,268.869,263.29,264.63,264.5808,35361527
2023-04-14,265.04,268.83,262.2,267.58,267.5303,39566008
2023-04-17,265.655,270.06,264.3318,270.02,269.9698,32147131
2023-04-18,275.335,281.1,273.57,276.67,276.6186,60481152
2023-04-19,273.61,280,272.32,279.31,279.2581,35866039
2023-04-20,276.71,280.3,270,271.04,270.9896,42771328
2023-04-21,269.52,271.83,267.22,271.19,271.1396,34510281
2023-04-24,270.13,273.6599,266.7101,270.42,270.3697,33928191
2023-04-25,270.78,272.47,262.25,262.41,262.3612,37852719
2023-04-26,270.02,273.3,267.051,269.56,269.5099,40633680
2023-04-27,273.63,274.95,266.2501,272.26,272.2094,37716121
2023-04-28,272.25,277.58,270.7148,277.49,277.4384,29221609
2023-05-01,278.4,290.5844,277.8,289.1,289.0463,57032848
2023-05-02,286.8,288.3599,280.83,282.1,282.0476,40272961
2023-05-03,278.4,283.67,274.72,278.02,277.9683,38338738
2023-05-04,276.51,278.59,272.4,275.62,275.5688,32185039
2023-05-05,278.255,287.55,277.31,286.8,286.7467,36149406
2023-05-08,285.22,292.2,283.5,291.51,291.4558,34497887
2023-05-09,288.99,289.73,284.5,285.71,285.6569,31486949
2023-05-10,290.05,291.13,284.6128,288.85,288.7963,36935000
2023-05-11,288.96,289.5,282.46,285.78,285.7269,32214900
2023-05-12,285.29,287.8,280.46,283.4,283.3473,27422230
2023-05-15,285.085,289.69,281.52,289.53,289.4762,29392590
2023-05-16,288.41,298.7,288.32,292.13,292.0757,44940488
2023-05-17,295.84,301.99,294.3001,301.78,301.7239,43253539
2023-05-18,304.1,318.28,303.2,316.78,316.7211,74872492
2023-05-19,315.36,315.8,309.16,312.64,312.5819,47390770
2023-05-22,309.01,315.2,306.8,311.76,311.7021,37199969
2023-05-23,310,312.88,306.31,306.88,306.823,35625328
2023-05-24,302.1,306.07,298.06,305.38,305.3232,72141852
2023-05-25,385.23,394.8,366.35,379.8,379.7294,154391109
2023-05-26,378.9,391.7,375.5,389.46,389.3876,71439680
2023-05-30,405.95,419.38,399.49,401.11,401.0354,92340109
2023-05-31,394.88,402.95,378.22,378.34,378.2697,100258000
2023-06-01,384.89,400.5,383.4,397.7,397.6261,63587301
2023-06-02,400.97,405,390.5801,393.27,393.1969,48273121
2023-06-05,389.09,395.6503,387.07,391.71,391.6372,39609379
2023-06-06,388.3,391.6,381.48,386.54,386.4682,38872910
2023-06-07,389.15,394.99,373.56,374.75,374.7191,51199793
2023-06-08,377.24,388.64,375.05,385.1,385.0683,41777238
2023-06-09,390.37,397.11,385.67,387.7,387.6681,42771754
2023-06-12,392,395.2999,386.18,394.82,394.7875,38967340
2023-06-13,401.86,411.01,397.4,410.22,410.1862,61320820
2023-06-14,408.24,430,405.52,429.97,429.9346,74046492
2023-06-15,426.02,432.89,421.47,426.53,426.4949,56862199
2023-06-16,434.5,437.21,426.605,426.92,426.8848,65570938
2023-06-20,429.98,439.9,426.74,438.08,438.0439,45115312
2023-06-21,435.01,436.15,420.8,430.45,430.4145,55160289
2023-06-22,422.53,434.255,422.34,430.25,430.2146,41773738
2023-06-23,424.64,428.09,420.15,422.09,422.0552,35813980
2023-06-26,424.61,427.64,401,406.32,406.2865,59432191
2023-06-27,407.99,419.4,404.48,418.76,418.7255,46217473
2023-06-28,406.6,418.45,405.18,411.17,411.1361,58263930
2023-06-29,415.58,416,406,408.22,408.1864,38051434
2023-06-30,416.8,425.5,415.01,423.02,422.9851,50114781
2023-07-03,425.17,428.98,422.02,424.13,424.0951,19775410
2023-07-05,421.35,431.77,420.85,423.17,423.1351,32361760
2023-07-06,418.44,421.79,413.46,421.03,420.9953,30413881
2023-07-07,423.22,432.14,421.8,425.03,424.995,35588152
2023-07-10,426.57,428.11,416.49,421.8,421.7652,35390809
2023-07-11,424.81,427.58,420.67,424.05,424.0151,29824410
2023-07-12,430.33,439.35,427.7728,439.02,438.9838,48127699
2023-07-13,445.18,461.55,444.92,459.77,459.7321,47820367
2023-07-14,465.828,480.88,450.6,454.69,454.6525,77207531
2023-07-17,462.89,464.96,452.6241,464.61,464.5717,51048820
2023-07-18,467.01,478.9599,457.34,474.94,474.9009,57019039
2023-07-19,474.64,478.18,467.42,470.77,470.7312,42750180
2023-07-20,465.07,470.87,450.62,455.2,455.1625,53786449
2023-07-21,457.88,458.66,441,443.09,443.0535,96376867
2023-07-24,447.31,451.09,440.4,446.12,446.0832,38309969
2023-07-25,449.41,461.825,449.23,456.79,456.7524,34808090
2023-07-26,460.21,460.53,446.3,454.52,454.4826,36423727
2023-07-27,465.19,473.95,457.5,459,458.9622,45597551
2023-07-28,466.68,470.27,463.81,467.5,467.4615,33119422
2023-07-31,467.54,471.3,465.0601,467.29,467.2515,25105529
2023-08-01,464.595,469,460.27,465.07,465.0317,23927600
2023-08-02,458.31,458.4,433.87,442.69,442.6535,53014160
2023-08-03,438,451.18,438,445.15,445.1133,32507660
2023-08-04,449.85,456.42,443.93,446.8,446.7632,36266621
2023-08-07,451.11,455.4,445.6345,454.165,454.1276,32215350
2023-08-08,448.53,452.42,440.5601,446.64,446.6032,35384340
2023-08-09,442.74,443.12,421.34,425.54,425.5049,58644910
2023-08-10,421.6,435.74,418.35,423.88,423.8451,49270527
2023-08-11,417.51,420.18,406.39,408.55,408.5163,53308527
2023-08-14,404.86,438,403.11,437.53,437.494,69028578
2023-08-15,445.6,452.68,437.1,439.4,439.3638,67651148
2023-08-16,445.2,446.75,434.06,434.86,434.8242,52745070
2023-08-17,439.7,440.62,430.01,433.435,433.3993,45239480
2023-08-18,426.35,435.7799,416.6,432.99,432.9543,58376793
2023-08-21,444.94,470.65,442.22,469.67,469.6313,69257344
2023-08-22,481.35,481.87,453.331,456.68,456.6424,75720688
2023-08-23,458.66,472,452.08,471.16,471.1212,77904609
2023-08-24,502.16,502.66,471.59,471.63,471.5911,115604398
2023-08-25,470.12,478.05,450.24,460.18,460.1421,92534047
2023-08-28,464.82,469.8,448.88,468.35,468.3114,68519219
2023-08-29,466.66,490.81,463.9101,487.84,487.7998,70139695
2023-08-30,490.44,499.27,484.25,492.64,492.5994,73520602
2023-08-31,493.8,497.44,489.58,493.55,493.5093,52856980
2023-09-01,497.62,498,481.416,485.09,485.05,46383031
2023-09-05,482.23,488.5081,478.6,485.48,485.44,38265262
2023-09-06,484.41,485.49,465.8,470.61,470.61,46866961
2023-09-07,455.25,463.44,451.52,462.41,462.41,43332992
2023-09-08,459.42,466.06,452.71,455.72,455.72,47389992
2023-09-11,461.48,461.63,443.12,451.78,451.78,47396559
2023-09-12,447.38,456.73,445.31,448.7,448.7,34925633
2023-09-13,446,459.3,445.03,454.85,454.85,39835539
2023-09-14,459.5,459.8699,451.31,455.81,455.81,37009719
2023-09-15,453.41,455.99,438.08,439,439,50571300
2023-09-18,427.48,442.42,420,439.66,439.66,50027100
2023-09-19,438.33,439.66,430.02,435.2,435.2,37306400
2023-09-20,436,439.03,422.23,422.39,422.39,36710800
2023-09-21,415.83,421,409.8,410.17,410.17,44893000
2023-09-22,415.72,421.15,412.31,416.1,416.1,47817500
2023-09-25,415.91,425.36,411.77,422.22,422.22,41909100
2023-09-26,420.01,428.2,416.55,419.11,419.11,40228200
2023-09-27,423.3,428.72,416.29,424.68,424.68,44493500
2023-09-28,424.6,434.46,421.15,430.89,430.89,42466300
2023-09-29,438.27,441.44,433.07,434.99,434.99,39722100
2023-10-02,440.3,451.75,438.61,447.82,447.82,43329800
2023-10-03,448.08,451.3,432.46,435.17,435.17,47085000
2023-10-04,437.42,441.43,432.92,440.41,440.41,36182100
2023-10-05,440.5,449,438.88,446.88,446.88,39348300
